Modèle,MAE,RMSE,R²
Ridge,16209.230913741103,24556.029372277993,0.8644339754437231
Random Forest,16629.41810802085,26469.995849044713,0.8424776005021556
XGBoost,14408.493006993007,23392.39526128102,0.876977666782728
